id,created_at,color,roll
LKl3WYgblN,2025-08-03 17:36:02,black,13
WplzmdZKkn,2025-08-03 17:36:32,red,6
yAlAVe5MrG,2025-08-03 17:37:02,red,3
3Ery2YKR1j,2025-08-03 17:37:32,red,3
KRkb4J6NrL,2025-08-03 17:38:02,red,3
GR1pDvNL15,2025-08-03 17:38:32,black,13
3elYeDnolL,2025-08-03 17:39:02,black,11
OWld4JVVl3,2025-08-03 17:39:33,black,10
AXlOXP50rO,2025-08-03 17:40:03,black,10
M9rKazbOk6,2025-08-03 17:40:33,red,1
WG17a7z6lZ,2025-08-03 17:41:03,black,12
BylLPGzolG,2025-08-03 17:41:33,black,10
gM19qeXv1A,2025-08-03 17:42:03,white,0
xmlNmx6mkv,2025-08-03 17:42:33,red,7
yAlAVembrG,2025-08-03 17:43:03,black,9
3Ery2YVw1j,2025-08-03 17:43:33,red,1
KRkb4JWJrL,2025-08-03 17:44:03,red,3
GR1pDv2G15,2025-08-03 17:44:33,white,0
3elYeDn6lL,2025-08-03 17:45:03,red,3
OWld4JVDl3,2025-08-03 17:45:33,white,0
AXlOXP57rO,2025-08-03 17:46:03,white,0
M9rKazb2k6,2025-08-03 17:46:33,black,8
WG17a7zmlZ,2025-08-03 17:47:03,red,5
BylLPGzmlG,2025-08-03 17:47:33,white,0
gM19qeX01A,2025-08-03 17:48:03,black,12
xmlNmx6Okv,2025-08-03 17:48:34,black,10
7dlEPmaYkv,2025-08-03 17:49:04,black,11
QqlPmXeBrz,2025-08-03 17:49:34,black,11
EV1eaJKz1o,2025-08-03 17:50:04,black,11
Nz1xzpQPlp,2025-08-03 17:50:34,red,4
V5k0XyLBkY,2025-08-03 17:51:04,black,8
vRl8RLXV1K,2025-08-03 17:51:34,red,5
3V1qwDozlB,2025-08-03 17:52:04,red,7
MerWenE4kX,2025-08-03 17:52:34,black,11
N8r2op271b,2025-08-03 17:53:04,black,13
Y8kG73bWkZ,2025-08-03 17:53:34,red,5
DV1aeMnj1e,2025-08-03 17:54:04,red,4
JblRmPLRkO,2025-08-03 17:54:34,red,3
AKl5ROa8r9,2025-08-03 17:55:04,red,2
O2l46dGz1n,2025-08-03 17:55:34,black,9
8LknaXDV13,2025-08-03 17:56:04,red,5
